,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model
0,100,276.93577328951187,1.0,0.9717917324680853,327.72209394747796,10,0.37473318895447555,313.97829729277,10,0.6991259171445483,151.09466917736336,1.5,0.9409240119818995,169.1265311589801,1.0,0.10126756496478756,4.5,2.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,10,0,dikesnet
1,58,301.13967003634866,1.0,0.24823271357547708,215.85758417392316,1.0,0.02517140274251192,185.7349122013559,1.5,0.9979040830075896,134.16933699085425,1.0,0.5921797966175834,76.07424296471962,10,0.9755207285317342,4.5,1.5,4.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,11,0,dikesnet
2,79,35.62057270800161,10,0.2615181830130464,160.09695108088658,10,0.18680646346099536,261.5212783225678,1.0,0.3141939078778822,155.08616461591023,1.0,0.941572396908023,105.83783260719298,1.5,0.8944090718684976,4.5,3.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,12,0,dikesnet
3,41,46.2430118426218,1.5,0.6726437194930305,314.0234522880781,1.5,0.40718312174116433,331.55247356098613,1.0,0.21016890724123796,258.34645287674033,1.5,0.7120653807801361,250.59157675471695,1.5,0.8571358437341923,2.5,1.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,13,0,dikesnet
4,34,240.38245404980256,10,0.7884237547772983,149.31372342534587,10,0.208124024893628,107.79872180428785,1.5,0.5174864886081005,91.39282640611538,1.5,0.23375866829184805,33.08756138236426,10,0.8443525411534304,1.5,2.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,14,0,dikesnet
5,89,72.22337320227624,1.5,0.32894046680666195,287.4799057684157,1.0,0.4171433713394115,114.42098390197299,10,0.11589393248060295,287.47366924713486,10,0.8749112539688448,232.2986603391328,1.0,0.10731783834752913,1.5,3.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,15,0,dikesnet
6,54,141.6716988885758,1.0,0.8452285976797301,207.49352675349115,1.5,0.6753183387769905,104.89375767494435,1.5,0.6240740584901064,55.530836073720735,1.5,0.28139218472606015,137.73378308000497,10,0.27933422823310156,1.5,4.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,16,0,dikesnet
7,97,186.2174341544248,1.5,0.2660975883747927,294.8638513313522,1.0,0.2615932083717349,72.67283248219556,1.0,0.5034777600725178,244.18315178086175,1.5,0.8466928911196204,123.11275745394087,10,0.9122868243692535,3.5,4.5,1.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,17,0,dikesnet
8,131,140.68086763437344,10,0.533894141301705,81.95553777816872,1.5,0.22876050722210883,246.4178243553948,1.5,0.5071793017793694,163.95205394459575,1.0,0.630999550212678,300.6600497347624,10,0.01404637484492944,4.5,4.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,18,0,dikesnet
9,109,311.5247033650433,1.5,0.19596501519401663,50.12329359613636,10,0.5115390728468258,177.5855485721491,10,0.1962123332210759,158.45746252846183,1.5,0.031111660814141916,323.1864577500443,1.0,0.8206043519186533,1.5,4.5,3.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,5,0,4,1,9,4,3,0,9,9,3,7,6,9,10,2,19,0,dikesnet
