,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,A.3_Expected Annual Damage,A.3_Dike Investment Costs,A.3_Expected Number of Deaths,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,A.5_Expected Annual Damage,A.5_Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,33,189.77147322255772,10,0.07222562927317809,124.77771678394063,1.5,0.11894453989871392,177.51491252377474,1.0,0.16806725109841192,349.6191845342155,1.0,0.8984694262464522,316.43330649772633,1.5,0.6316867383636443,1.5,4.5,4.5,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,5,8,8,2,6,7,8,7,0,4,1,10,3,1,1,1,44694,44689,dikesnet,0.0,262321137.22669458,0.0,35355660.237137735,209379725.79999262,0.008739490996467095,0.0,82060304.65513833,0.0,0.0,41038624.720261365,0.0,0.0,86682896.14650115,0.0,997200000.0,707.5977462663391
1,28,303.9312518452323,1.0,0.23690068977319,136.18332533568037,1.0,0.22246969712638948,315.64361786509596,1.5,0.12260348173603594,90.4105274374836,1.0,0.41080609166511584,147.36280013512095,1.0,0.14107640871071878,1.5,2.5,3.5,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,5,8,8,2,6,7,8,7,0,4,1,10,3,1,1,1,44695,44689,dikesnet,0.0,262321137.22669458,0.0,16557438.422703154,209379725.79999262,0.004179409383584316,0.0,82060304.65513833,0.0,0.0,41038624.720261365,0.0,18449916.543167092,86682896.14650115,0.0054961652166237475,997200000.0,837.2205655946744
2,47,271.4194965127702,1.5,0.49572346471008355,277.2147665365278,1.0,0.3955629068595206,261.26322113975607,1.5,0.4336579007116654,151.97454901148552,1.0,0.4934457397618009,271.8615867209195,1.0,0.4030255145182034,3.5,1.5,3.5,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,5,8,8,2,6,7,8,7,0,4,1,10,3,1,1,1,44696,44689,dikesnet,0.0,262321137.22669458,0.0,729222.0764488425,209379725.79999262,0.0003070570508630351,0.0,82060304.65513833,0.0,0.0,41038624.720261365,0.0,0.0,86682896.14650115,0.0,997200000.0,23.385017250539814
3,65,213.45510977764434,10,0.47792901719830577,128.54771396458688,1.5,0.33133307777183635,328.13640459365405,10,0.03676132636923617,38.24837139225835,1.0,0.019102121178113007,207.2822539019344,10,0.9766724924347787,3.5,3.5,2.5,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,5,8,8,2,6,7,8,7,0,4,1,10,3,1,1,1,44697,44689,dikesnet,0.0,262321137.22669458,0.0,3088442.684993425,209379725.79999262,0.0012894230212726187,0.0,82060304.65513833,0.0,10536961.427660163,41038624.720261365,0.002097188647655029,0.0,86682896.14650115,0.0,997200000.0,569.6766440327472
4,74,200.87919344308727,1.5,0.5068071046266064,44.936506724373274,10,0.6836513114720781,52.13476033430027,1.5,0.4813933872675281,69.03257742442068,1.5,0.6901478386229672,157.81162375364624,10,0.9260401037951882,3.5,2.5,3.5,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,5,8,8,2,6,7,8,7,0,4,1,10,3,1,1,1,44698,44689,dikesnet,0.0,262321137.22669458,0.0,0.0,209379725.79999262,0.0,0.0,82060304.65513833,0.0,0.0,41038624.720261365,0.0,0.0,86682896.14650115,0.0,997200000.0,0.0
5,131,242.49067449573005,1.0,0.3192861106102212,56.619892516658844,10,0.040052029849510916,228.64449329977379,1.0,0.9952687356442124,45.26779423040496,1.0,0.26933633468760376,103.36459107859066,1.5,0.5198432296034985,4.5,3.5,2.5,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,5,8,8,2,6,7,8,7,0,4,1,10,3,1,1,1,44699,44689,dikesnet,0.0,262321137.22669458,0.0,63201998.74505188,209379725.79999262,0.029555720229550282,0.0,82060304.65513833,0.0,0.0,41038624.720261365,0.0,0.0,86682896.14650115,0.0,997200000.0,2574.086280285387
6,51,73.66003720284303,1.5,0.8403423788383487,194.18480670575144,1.0,0.8073651448725618,79.89573406140406,10,0.6885111128749712,166.9162319663043,1.5,0.9678252203129728,158.83894582479084,1.5,0.7201429808830216,1.5,2.5,3.5,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,5,8,8,2,6,7,8,7,0,4,1,10,3,1,1,1,44700,44689,dikesnet,0.0,262321137.22669458,0.0,0.0,209379725.79999262,0.0,0.0,82060304.65513833,0.0,0.0,41038624.720261365,0.0,0.0,86682896.14650115,0.0,997200000.0,0.0
7,97,31.00552797715897,1.5,0.5449732470159285,262.82995948443624,10,0.4789201346533496,147.29905968403645,1.5,0.9349696885303367,228.02672300455643,1.0,0.47426725259690666,90.38696818536344,10,0.6552754424405807,4.5,4.5,1.5,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,5,8,8,2,6,7,8,7,0,4,1,10,3,1,1,1,44701,44689,dikesnet,0.0,262321137.22669458,0.0,601514.6695463853,209379725.79999262,0.00031071076557270637,0.0,82060304.65513833,0.0,0.0,41038624.720261365,0.0,0.0,86682896.14650115,0.0,997200000.0,23.48623187547241
8,48,55.58886641643538,1.5,0.5876793943630583,236.8489138543254,1.0,0.8616720007910438,226.54167980954213,1.0,0.8174427833059833,184.30642775404164,1.5,0.7723333642191051,241.7595123116456,1.5,0.42819588714009305,1.5,4.5,1.5,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,5,8,8,2,6,7,8,7,0,4,1,10,3,1,1,1,44702,44689,dikesnet,0.0,262321137.22669458,0.0,0.0,209379725.79999262,0.0,0.0,82060304.65513833,0.0,0.0,41038624.720261365,0.0,0.0,86682896.14650115,0.0,997200000.0,0.0
9,118,331.07349914779337,10,0.927694692772735,251.11447991372359,10,0.24040915064221752,114.54708297393502,1.0,0.2685336182421264,87.01229817722822,10,0.9802086824007664,194.33659262412274,10,0.8656699419104158,3.5,4.5,2.5,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,5,8,8,2,6,7,8,7,0,4,1,10,3,1,1,1,44703,44689,dikesnet,0.0,262321137.22669458,0.0,4957998.238817587,209379725.79999262,0.0020637307154465455,0.0,82060304.65513833,0.0,0.0,41038624.720261365,0.0,0.0,86682896.14650115,0.0,997200000.0,159.55809660885075
