,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model,A.4 Total Costs,A.4_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,112,323.7087794800057,10,0.19186803876401917,332.7422515160092,1.5,0.0627078637027961,330.89411471931186,10,0.5651165735748345,80.48068017971403,1.5,0.9663326090647693,266.79765574170415,1.5,0.892979773627797,1.5,3.5,1.5,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,4,7,5,10,4,7,1,3,3,6,1,5,10,6,10,3,5,0,dikesnet,34322850.04901576,0.0,862300000.0,0.0
1,119,332.3798468396365,1.5,0.9792125832950849,242.51801699396253,10,0.05542693174237828,226.7729518670093,10,0.9224419089082839,104.1599708318904,10,0.6620817296180019,178.86805368064896,1.5,0.38536784320567075,1.5,4.5,4.5,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,4,7,5,10,4,7,1,3,3,6,1,5,10,6,10,3,6,0,dikesnet,34322850.04901576,0.0,862300000.0,0.0
2,97,62.950704708123936,1.0,0.43053936387795705,200.85093547861678,1.5,0.7788156666526891,81.49491975117228,10,0.551829039822372,139.7869790066116,1.5,0.7115651085535426,278.5373165140575,10,0.6876808612722245,1.5,4.5,2.5,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,4,7,5,10,4,7,1,3,3,6,1,5,10,6,10,3,7,0,dikesnet,34322850.04901576,0.0,862300000.0,0.0
3,59,124.87725656751596,10,0.9822207537697687,257.15325461610354,1.0,0.19213033833559634,51.97612847749876,1.5,0.03754761191955804,199.45821121788993,1.0,0.9753800082161344,304.39116678267374,1.5,0.7790642207110117,3.5,4.5,3.5,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,4,7,5,10,4,7,1,3,3,6,1,5,10,6,10,3,8,0,dikesnet,34322850.04901576,0.0,862300000.0,9781.850252244261
4,62,309.44191690902557,1.0,0.595158632338755,348.1151320830021,10,0.08623181893877763,134.0211803095165,10,0.6926026297669419,175.50146706168954,10,0.43902646335341994,152.3889614347696,1.5,0.8766151606800474,4.5,3.5,2.5,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,4,7,5,10,4,7,1,3,3,6,1,5,10,6,10,3,9,0,dikesnet,34322850.04901576,0.0,862300000.0,0.0
5,101,258.8473181628275,1.0,0.881115908169807,40.60677282719724,1.0,0.4787852684111362,250.69832015675883,1.0,0.8148743228798102,220.01805410565134,1.5,0.6936604904821303,77.57565236075487,1.5,0.5164904070913418,2.5,3.5,3.5,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,4,7,5,10,4,7,1,3,3,6,1,5,10,6,10,3,10,0,dikesnet,34322850.04901576,0.0,862300000.0,0.0
6,10,313.8060968305427,1.5,0.5190282597755564,67.49277607526308,1.5,0.906662560800433,283.964103172061,10,0.23414655385540042,227.16975190310865,1.0,0.15008648736500932,147.68806244712636,1.0,0.020371121811143422,2.5,1.5,1.5,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,4,7,5,10,4,7,1,3,3,6,1,5,10,6,10,3,11,0,dikesnet,34322850.04901576,0.0,862300000.0,405.3787341796326
7,55,275.61318553120054,1.5,0.28957565484254766,101.8505675866484,10,0.6245596023400504,144.55651464561052,1.5,0.11667832604740198,194.12411792272883,10,0.47055788536501575,57.78258431075146,1.5,0.20912602326728605,4.5,1.5,3.5,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,4,7,5,10,4,7,1,3,3,6,1,5,10,6,10,3,12,0,dikesnet,34322850.04901576,0.0,862300000.0,893.7947083520655
8,96,214.1558992710619,1.0,0.4438643627937734,120.02420996850502,1.5,0.38976264207578004,155.3364991234938,1.0,0.5795699211771815,270.84692737488604,10,0.7684442665030121,202.47696370189112,1.0,0.9997628299589951,4.5,3.5,3.5,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,4,7,5,10,4,7,1,3,3,6,1,5,10,6,10,3,13,0,dikesnet,34322850.04901576,0.0,862300000.0,0.0
9,106,36.09965882768064,1.0,0.8437611089454768,111.46319334624424,1.5,0.8564151543020005,116.98797931548515,1.5,0.3716465069698032,44.834738539369596,1.0,0.7334228203699584,94.27893401990546,10,0.21465634792736996,3.5,1.5,4.5,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,4,7,5,10,4,7,1,3,3,6,1,5,10,6,10,3,14,0,dikesnet,34322850.04901576,0.0,862300000.0,56.73606738224768
